topic_id,month,article_count
0,2024-01,1
0,2024-08,1
0,2025-02,1
0,2025-03,1
0,2025-05,1
0,2025-06,1
0,2025-08,1
0,2025-09,2
0,2025-10,1
0,2025-11,1
0,2026-02,3
0,2026-03,5
0,2026-04,2
0,2026-05,1
0,2026-06,1
0,2026-07,4
1,2024-02,1
1,2024-05,1
1,2024-06,1
1,2024-09,2
1,2025-03,1
1,2025-04,1
1,2025-05,1
1,2025-06,2
1,2025-09,1
1,2025-10,1
1,2025-11,1
1,2025-12,1
1,2026-01,1
1,2026-06,1
1,2026-08,2
2,2024-02,1
2,2024-05,1
2,2024-06,1
2,2025-01,1
2,2025-03,3
2,2025-06,1
2,2025-08,1
2,2025-09,1
2,2025-11,1
2,2026-01,1
2,2026-02,1
2,2026-05,1
2,2026-06,1
3,2024-01,1
3,2024-03,1
3,2024-04,1
3,2024-05,2
3,2024-06,1
3,2025-01,1
3,2025-02,1
3,2025-06,3
3,2025-10,1
3,2025-11,1
3,2026-04,1
4,2024-03,1
4,2024-09,1
4,2025-01,1
4,2025-06,1
4,2025-11,2
4,2026-01,2
4,2026-02,2
5,2025-01,1
5,2025-06,2
5,2025-10,2
5,2025-11,1
5,2025-12,1
5,2026-01,2
5,2026-04,1
6,2025-01,2
6,2025-02,1
6,2025-03,1
6,2025-09,1
6,2026-01,2
6,2026-04,1
6,2026-05,1
