id,title,date,source,url,text,search_query,analysis_text,semantic_relevance,in_scope_score,out_scope_score,scope_margin,best_in_scope_category,best_out_scope_category,scope_keep,topic_id
620,The Future of Fashion: Circular and Sustainable Fashion Trends - Mintel,2024-09-02 07:00:00,Mintel,https://news.google.com/rss/articles/CBMimAFBVV95cUxQVFRrdHhXUWhvOGpnNWNZcFE0LUVWVzU4SDVkWGo3RWFnUTh0a0R4QzZDNmZoQlZTVlpicEJGSi1scmVfVFJUcEhZSllhbkhTQUt5SkdWUWRXUlk5X1J0WXV5eHdFMER2SzNhZjB0bWktQjVKMTZHRUdDdnRVQW9FYV9vWGMxZERGVS1qV1RyQTJzaG01MUJvLQ?oc=5,The Future of Fashion: Circular and Sustainable Fashion Trends Mintel,UK sportswear consumer trends,The Future of Fashion: Circular and Sustainable Fashion Trends - Mintel. The Future of Fashion: Circular and Sustainable Fashion Trends Mintel,0.35672402,0.6256233,0.2953083,0.330315,"Sustainability, materials, circularity and product     innovation within sportswear, activewear and footwear.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,4
655,Changing Consumer Behaviour: How Shopping Habits Have Changed - Mintel,2024-05-31 07:00:00,Mintel,https://news.google.com/rss/articles/CBMinwFBVV95cUxQS25UdUVmU3g1MGJBWjJodkRPRk1fbUFzS0Nobk9McHk0ZUtnNlhPY0VkZjBXNVVQMzU5d2l3TVZvenZRWF9HTlpIX0Vza0libHZoYVNNQXZuUU1WSkR3U2hYNk9mWUxWc3E0MV95TFBnN0xtYkxqTkNlZkN2UUJIb0JyVElfNXg2dmhWeUxlWFd4NnlOb01VTTJ0SktIN0U?oc=5,Changing Consumer Behaviour: How Shopping Habits Have Changed Mintel,UK sportswear consumer behaviour,Changing Consumer Behaviour: How Shopping Habits Have Changed - Mintel. Changing Consumer Behaviour: How Shopping Habits Have Changed Mintel,0.44163156,0.5248986,0.22749905,0.29739952,"Consumer behaviour and changing consumer preferences     relating to sportswear, activewear, athletic footwear     and sports fashion.","Sports tourism, sporting events, travel,     event ticketing and sports hospitality.",True,2
561,UK retail and consumer trends 2025 - Odgers Interim,2025-01-24 08:00:00,Odgers Interim,https://news.google.com/rss/articles/CBMilwFBVV95cUxNME1KWlN2N1JFOWxYU3hwZ3VybEI1WkhmUV9Mb2FPcDdGQjNUMFdsSS1WQ05NVU1RLU1wNDdwcldjMUFQa3RTbWlMcVhYeEpCaXlJek93WjBFQ09OTHdsT3BSMDViYng1eVMxWXhkQ0oxUTU5c2NNc0hEcTNWbE96eHFmSGhsNG41a1Rab1lXNWRxd1Vid1Zn?oc=5,UK retail and consumer trends 2025 Odgers Interim,UK sportswear consumer behaviour,UK retail and consumer trends 2025 - Odgers Interim. UK retail and consumer trends 2025 Odgers Interim,0.41974953,0.4771436,0.18061417,0.2965294,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Sports tourism, sporting events, travel,     event ticketing and sports hospitality.",True,2
649,Retail Trends: Navigating the Evolving UK Retail Industry - Mintel,2024-06-18 07:00:00,Mintel,https://news.google.com/rss/articles/CBMimAFBVV95cUxPR25Hb0FGd0cwT0dIYTFHSWlNZXNJVHc5Q05oZURKd3pWWUM5UGE1NjFIUncxai1oeXZaY1l5T19lY0tsTEJtT3I0UWxOV21MU01RSnYxX2FYTWpvdW9UZlMtNFNYa3BoODBPTGhQWjFBTEw5Y285alBvWWVraDVGQUdjUGZvR01NLXR1UjBDbEgxb3JHRFphVw?oc=5,Retail Trends: Navigating the Evolving UK Retail Industry Mintel,UK sportswear consumer behaviour,Retail Trends: Navigating the Evolving UK Retail Industry - Mintel. Retail Trends: Navigating the Evolving UK Retail Industry Mintel,0.48582813,0.5136199,0.21852757,0.29509234,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,2
680,How consumers want to shop for fashion in-store - fashionunited.uk,2024-03-20 07:00:00,fashionunited.uk,https://news.google.com/rss/articles/CBMinwFBVV95cUxQV3c1Nm8yX1FWSHV3ZjczVnhhaDVVQ3Z4cGQ3ejk3ajB1VDRHTENFN2NuRzNwb3UzMEVqQVpFRUFQaWZUN0FjaU9QWGFTVTBlNlZ1MEQ1SUpRZUUwTzhqZ1dvYnRvTVRMWUtFMWszUjVuNFh3ZEszMHpfQkxnZE01dG9yb1JBN3M4NTlTM3piY0h0OGtDUFhvNHZ6QmRQZEE?oc=5,How consumers want to shop for fashion in-store fashionunited.uk,UK sportswear retail technology,How consumers want to shop for fashion in-store - fashionunited.uk. How consumers want to shop for fashion in-store fashionunited.uk,0.4851679,0.56616485,0.28300968,0.28315517,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Sports tourism, sporting events, travel,     event ticketing and sports hospitality.",True,4
222,Fashion Enters Its Wellbeing Era - The Business of Fashion,2026-01-26 08:00:00,The Business of Fashion,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQRnBLUF9oaWo2MnNYcnVfSGMwRVY1Uk91VG15b0s4TUpSbnVmRGNSLV9faUNSQlNoREJoZ1RJcjhJY0dCczZsczFMbnI0WFZfV2Uwa2lUMDdMa3NGbE44QTFmNTJWTi1ENlBuT1prNDBWV2RnZEdVQ2dHb2hKSlUxZjFVX01JVGZ5a1VVZk5BaGtpbnhWMnIyTXJOdXIxTnpuVUN5TXdLZUhQb2w1SXBJWEZ3VzRKNHd2dzdkY2NyVzVhaFU?oc=5,Fashion Enters Its Wellbeing Era The Business of Fashion,UK sportswear wellness consumers,Fashion Enters Its Wellbeing Era - The Business of Fashion. Fashion Enters Its Wellbeing Era The Business of Fashion,0.39463162,0.5378018,0.2904653,0.2473365,"The relationship between sport, fashion, lifestyle     and consumer culture within apparel and footwear.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,4
311,The State of Fashion 2026: When the rules change - McKinsey & Company,2025-11-17 08:00:00,McKinsey & Company,https://news.google.com/rss/articles/CBMifEFVX3lxTE9ndVBlLTlsYy1uTjJ3eWhmWXRPcHYyckpRM0hHMnJieUR0UnF5UGNjczZOTDNuTVI2Z3lIUEZpektKamtkdXEyY204dVlJQ09wVGpkTG5kM1ZibVpzNXU4MXNZSmxRZkpFYjUxQlJsdjVhNTFoTV9QREZodWU?oc=5,The State of Fashion 2026: When the rules change McKinsey & Company,UK sportswear consumer trends,The State of Fashion 2026: When the rules change - McKinsey & Company. The State of Fashion 2026: When the rules change McKinsey & Company,0.3939122,0.5127013,0.26825967,0.2444416,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,4
310,5 It-Girl Activewear Brands You Need Now - Forbes,2025-11-17 08:00:00,Forbes,https://news.google.com/rss/articles/CBMisAFBVV95cUxONmxqcTVFYjZDYVFpTThlUEhiWjhJSTlfVHNMWmxvQTBpbTcyOVlnX1lrcU9seWF2SWdvT1V3ZGFCTExybW0tNXZZRVhxSEFYckhWd2tmUGpPa01HSzZJaDVYSmNqd0tRZ1JmNGZMWUZnRWkyMjNZUGhnWldleFRBR3JaM3dUcXRxQzJweHkwY3U3QXlhTHlqNFY3Y3J1Y1hXRVk3QkpYUGdFaHNfYW5BWA?oc=5,5 It-Girl Activewear Brands You Need Now Forbes,UK activewear innovation,5 It-Girl Activewear Brands You Need Now - Forbes. 5 It-Girl Activewear Brands You Need Now Forbes,0.42158198,0.5543563,0.32073572,0.23362055,"Sportswear, activewear, athletic apparel, athletic footwear,     sneakers and performance clothing products.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,5
202,Shopping with AI and the key consumer changes defining fashion in 2026 - The Independent,2026-02-11 08:00:00,The Independent,https://news.google.com/rss/articles/CBMilAFBVV95cUxNbFFrazRNN1dXUGp1ZFBIUnhPbGFta0lhdlh4QzBXU01IVVJta0p6QmhnRFZsUldrUnRVY2FpLUVQSVFBV1RieC1WSk94WjEzRWNaY0VJV3JKbHlDOEZhb0J0UTc0c0dOYVVDOEhBNW1pTkNMX1hYSnpwV1oxcFkwTkJiZDZyOVl1RHg5NjhUQzBORWtU?oc=5,Shopping with AI and the key consumer changes defining fashion in 2026 The Independent,UK sportswear changing consumer habits,Shopping with AI and the key consumer changes defining fashion in 2026 - The Independent. Shopping with AI and the key consumer changes defining fashion in 2026 The Independent,0.47371593,0.5344571,0.31012493,0.22433215,"Consumer behaviour and changing consumer preferences     relating to sportswear, activewear, athletic footwear     and sports fashion.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,4
515,Consumer Trends in the Online Grocery Retail Industry - Mintel,2025-03-14 07:00:00,Mintel,https://news.google.com/rss/articles/CBMihwFBVV95cUxOSHFKTkVUX21rR1dRNFJSRkREY1doR29Jd1FvRWFudVJwWWRjcERlRWhSc2pYMzloc1poZFVXaDZWSThXME1GQ1oyUWVDeTZ0Um1xSU5rTTRRaVVXbGtiaDFlTmVJZzJyRVJuaTM4b3p2cFQzQTZaa3JQbUQ3NU1ZLXAtZ1hsOUE?oc=5,Consumer Trends in the Online Grocery Retail Industry Mintel,UK sportswear consumer behaviour,Consumer Trends in the Online Grocery Retail Industry - Mintel. Consumer Trends in the Online Grocery Retail Industry Mintel,0.38434356,0.4273199,0.21512482,0.2121951,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Sports betting, gambling, betting applications,     bookmakers and sports wagering.",True,2
