article_id,date,source,title_clean,text_clean,analysis_text,url,search_query,sportswear_match,consumer_match,technology_match
1,2024-02-06 08:00:00,horsesport.com,Struck Apparel Wins Top Innovation Award at Spoga - horsesport.com,Struck Apparel Wins Top Innovation Award at Spoga horsesport.com,Struck Apparel Wins Top Innovation Award at Spoga - horsesport.com. Struck Apparel Wins Top Innovation Award at Spoga horsesport.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPMENRV0tvWUQyeVdvYlNkQ0lmbW9GOFJ6Mnc1QUM3bUhkTFNiR0FOc3VVdEdfX3VEejhjVFpIeXk0cTg5X1pCeHk3MlNrRWdkNHRkRlFmQ3BXNXF1OTJRSU5tVXVjMnNuZ2FVVWxVOEl1NVZtNjhjSy1LZ2o1aGZ5b1ZDU2w1MXdw?oc=5,UK athletic apparel innovation,True,False,True
2,2024-03-15 07:00:00,Loughborough University,Experts in Sport: The sports apparel waste problem - Loughborough University,Experts in Sport: The sports apparel waste problem Loughborough University,Experts in Sport: The sports apparel waste problem - Loughborough University. Experts in Sport: The sports apparel waste problem Loughborough University,https://news.google.com/rss/articles/CBMinwFBVV95cUxOZUhCYkZaaC1fcXRodjN6UXIwRk83OVgzaUhsQnIwX2w3ZjZhNXpUTlBHSHEzbVpBcXFYT2huN0VuRkJ1WVpaTEpVRGp6eWFuWmVQTGd2T1ROMjNxQTZ4cnlqUnNZTGxUOXFkd3lUQzNtVnZpcG1oQU1lb0h5MFhlcHRxNzJaRUVaYkQ1d2Z2X1ZpU080WGhjU2xvZVRNM2s?oc=5,UK athletic apparel innovation,True,False,True
3,2024-03-21 07:00:00,About Nike,"5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. - About Nike","5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. About Nike","5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. - About Nike. 5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. About Nike",https://news.google.com/rss/articles/CBMihgFBVV95cUxPVnVldEk1bVgzTldxeUtTTkt4UzRqaGdyY3A1Z29WNnNMNkZfYUlJd3FrZkppRkltSjNXWF8xc1lUZjZQNTZoN0NMbjFkMzFqSFBvUXk2bW9lN3R0cVJtZGFBaXlxYjNtTThSb1FrYXN5LWlVS0FIRFhQZFRaMmhpOE9QY0pTUQ?oc=5,UK athletic apparel innovation,True,False,True
4,2024-04-05 07:00:00,Euromonitor,Top Trends in Global Apparel and Footwear in 2024 and Beyond - Euromonitor,Top Trends in Global Apparel and Footwear in 2024 and Beyond Euromonitor,Top Trends in Global Apparel and Footwear in 2024 and Beyond - Euromonitor. Top Trends in Global Apparel and Footwear in 2024 and Beyond Euromonitor,https://news.google.com/rss/articles/CBMinAFBVV95cUxPUkNmc3ZtSnYxcFlJU1pOYmlXSUF1VENsRTJkNTBFNEhtcmkyeG1EVS00TjhFeGhMellRZ0RUdXZpNkIzZFVmN2Uzb3lOd1hfZWZ3WXczekgtc1hTVXhiNWVqaFRMTmg4UEU2ck1zX1NLVzdoR2tXaEpGOVc5UEw2R2tjRE9WRjZtejJfckhZZ0hhNEVMcDN1TkdEZUE?oc=5,UK sportswear consumer trends,True,False,True
5,2024-05-05 07:00:00,Retail Week,How Lululemon is sprinting ahead in the UK sportswear market - Retail Week,How Lululemon is sprinting ahead in the UK sportswear market Retail Week,How Lululemon is sprinting ahead in the UK sportswear market - Retail Week. How Lululemon is sprinting ahead in the UK sportswear market Retail Week,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNd1RXemVfYzg5SkV4QTdFUUVkYUZ1MkZuZ3FtcFVpQ0tSOW1xMVlaaGtzRHJBMDRtWTZiM0FqOFZmdTl0WG41YlVmWi1UdlF6T3ZQSVh6WWpzUlQyRHpEaThLSTFtcHQ4M1FfalFwcGZrQWlZY1BFQkZDaXUxdG5HODBpNzZ4SWVvYTl6X0ZqaTZqTTNjNlpnbURqeTgxaUpDRFRESEpudDVabmRYNmZOMDJiMmZOdjQ3SXl4NS0tVEY?oc=5,UK sportswear ecommerce,True,True,False
6,2024-08-20 07:00:00,Mintel,Fitness or Fashion? Blurring Boundaries in the Sportswear Industry - Mintel,Fitness or Fashion? Blurring Boundaries in the Sportswear Industry Mintel,Fitness or Fashion? Blurring Boundaries in the Sportswear Industry - Mintel. Fitness or Fashion? Blurring Boundaries in the Sportswear Industry Mintel,https://news.google.com/rss/articles/CBMijgFBVV95cUxOdnREWTNNc2k0OThPY1g2VFBGWDhRVlNtNVFPUUx6NVlkUkRWX1ZUWldiOWxrM1RmTHppUUdZSVRvUU1xbU1kNTBuM3M0S2tGdUFvQy1mT2NGNjJvdnU4RGwzMWxVM2pEX0JVUEExNHhzSXczanNNVTRUU1R6Skw1ZU5UTWMxVGZFd25wQzdn?oc=5,UK sportswear consumer trends,True,True,False
7,2024-08-23 07:00:00,Global Data,"France Apparel Market Size and Trend Analysis by Category, Retail Channel, Consumer Attitudes, Brands and Forecast to 2028 - Global Data","France Apparel Market Size and Trend Analysis by Category, Retail Channel, Consumer Attitudes, Brands and Forecast to 2028 Global Data","France Apparel Market Size and Trend Analysis by Category, Retail Channel, Consumer Attitudes, Brands and Forecast to 2028 - Global Data. France Apparel Market Size and Trend Analysis by Category, Retail Channel, Consumer Attitudes, Brands and Forecast to 2028 Global Data",https://news.google.com/rss/articles/CBMie0FVX3lxTFB5cFEwYTVDSW92M21xV0JHMDIyMGFwUTdOS2o2N1JjOFozSGJuTzg4ejRUQWtldnFIaGs3TnRHLXdUaUxTTjItRHhNcHJyc2hnYThlVWkyLWR1SHFUY3JXWlN4VnlObnB6WHhqMUhmNzc4SzZLamNRRHZLOA?oc=5,UK sportswear market trends,True,True,True
8,2024-08-28 07:00:00,Authentic Brands Group,Authentic Announces Launch of New Tedbaker.com This Fall With United Legwear & Apparel Co. - Authentic Brands Group,Authentic Announces Launch of New Tedbaker.com This Fall With United Legwear & Apparel Co. Authentic Brands Group,Authentic Announces Launch of New Tedbaker.com This Fall With United Legwear & Apparel Co. - Authentic Brands Group. Authentic Announces Launch of New Tedbaker.com This Fall With United Legwear & Apparel Co. Authentic Brands Group,https://news.google.com/rss/articles/CBMipgFBVV95cUxNQlFsZnY5SkpxdnZYYmE0VjBHeEJQd3IyX2VSV2E2QnJjcmhnc01ROWsyOUx4U1ppVDlqSGNRS1M1alR6M1RuQ3E5WmZCYnlwdUtPb09BSmFGQ050czEtTS1BekFFRFlYYkJnZ3k3bE5wQzRnTl9EMlpoRUZ2YUxVRG84em9EV3RpZHo2V0cwN2xqN1pFUHNIWUFGc1p6RHF3Wk9kUW5B?oc=5,UK sportswear ecommerce,True,False,True
9,2024-09-16 07:00:00,Retail Technology Innovation Hub,Innovations shaping sports apparel retail in 2024: trends and technologies redefining the market - Retail Technology Innovation Hub,Innovations shaping sports apparel retail in 2024: trends and technologies redefining the market Retail Technology Innovation Hub,Innovations shaping sports apparel retail in 2024: trends and technologies redefining the market - Retail Technology Innovation Hub. Innovations shaping sports apparel retail in 2024: trends and technologies redefining the market Retail Technology Innovation Hub,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOSjY5WlFqQlpVakdhRU1WT1dPd3VoeWtiNzVhV3NkZDZ0NVRYdFNJa1RUVWpYTlN4UjgzdnlTOFN1NnFsd0h2aUVfS1JMcnNZeUs5OXgyR2F1QjBmeFVQRUd4UE5vRlJhMzJBWHFFOG9FZS1vNUdZeFBXb2xDN1FGcV9NTGt5aHNQbG8tajRMdzhiS1BBYU5BZ0ozZWcwb28zY3dYR0Q0Z2x4SksxblY4SlhpX0ExU01XMnVPRkkwU21Id2V6MEg1WllfQlp0Y1RQVExjbFJjQ25LU1FFYlk4?oc=5,UK sportswear retail technology,True,True,True
10,2024-09-24 07:00:00,Retail Week,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? - Retail Week,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? Retail Week,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? - Retail Week. Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? Retail Week,https://news.google.com/rss/articles/CBMiygFBVV95cUxNUnhDTnFMSnNqNXpXOTBGRG9CME9fcXJHSXVUMjZIcGpqUnZ0MjVOYk1iS3EyVmtuY09LSzdjdE9WZUJUZHhFNU5aR3RuT3VydEtJVlcyTl9LblI1X3lISkZqcVE3akJvbFI1VW9Tb0JJM3NLLUp6dEVkdTJkT1RJV1dsaTdkTURBZ3lvNEdOTW5lRWFJN2NLMktSMm5ReV9wR21jV0w0alBER1QzZHB4bVNDTnN1bENLTVF0aXlBS3NOY0prcmxaVGNn?oc=5,UK sportswear market trends,True,True,False
